City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bubaque,GW,2021-04-25 00:01:45,11.2833,-15.8333,78.53,65,3,19.6
68,Hofn,IS,2021-04-25 00:04:19,64.2539,-15.2082,45.09,89,90,4.16
69,Sitka,US,2021-04-25 00:04:30,57.0531,-135.33,60.8,20,20,10.36
70,Hamilton,US,2021-04-25 00:01:48,39.1834,-84.5333,53.01,87,90,4.61
71,Port Blair,IN,2021-04-25 00:01:58,11.6667,92.75,81.45,71,13,1.88
72,Butaritari,KI,2021-04-25 00:02:27,3.0707,172.7902,82.26,77,36,11.23
73,Khandbari,NP,2021-04-25 00:04:31,27.3747,87.2039,66.11,31,1,4.41
74,Asau,RO,2021-04-25 00:04:32,46.4333,26.4,45.0,50,85,2.8
75,Port Elizabeth,ZA,2021-04-25 00:04:32,-33.918,25.5701,57.2,94,90,6.15
76,Nabire,ID,2021-04-25 00:04:33,-3.3667,135.4833,78.87,84,100,1.5
77,Sakakah,SA,2021-04-25 00:04:33,29.9697,40.2064,86.0,10,0,6.91
78,Bowen,AU,2021-04-25 00:04:33,-20.0167,148.2333,75.2,78,90,13.8
79,Gorontalo,ID,2021-04-25 00:04:34,0.5412,123.0595,83.17,67,41,1.3
80,Coquimbo,CL,2021-04-25 00:04:34,-29.9533,-71.3436,59.0,77,0,3.44
81,Salento,CO,2021-04-25 00:04:34,4.6375,-75.5703,58.96,95,91,3.18
82,Linxia,CN,2021-04-25 00:04:35,35.6003,103.2064,43.23,81,99,0.78
83,Mugur-Aksy,RU,2021-04-25 00:04:35,50.35,90.5,8.89,83,69,7.96
84,Togur,RU,2021-04-25 00:04:35,58.3631,82.8265,34.27,96,97,4.61
85,Qasigiannguit,GL,2021-04-25 00:03:25,68.8193,-51.1922,46.4,46,8,21.85
86,Cidreira,BR,2021-04-25 00:04:33,-30.1811,-50.2056,68.9,88,60,6.96
87,Konigs Wusterhausen,DE,2021-04-25 00:04:36,52.3014,13.633,39.0,80,0,3.44
88,Fort William,GB,2021-04-25 00:04:37,56.8165,-5.1121,46.0,76,100,3.76
89,Bredasdorp,ZA,2021-04-25 00:04:37,-34.5322,20.0403,48.2,93,92,3.44
90,Esperance,AU,2021-04-25 00:04:37,-33.8667,121.9,55.4,88,59,17.27
91,Beloha,MG,2021-04-25 00:04:38,-25.1667,45.05,69.94,72,1,6.22
92,Iqaluit,CA,2021-04-25 00:02:51,63.7506,-68.5145,32.0,86,75,2.3
93,Kapaa,US,2021-04-25 00:03:35,22.0752,-159.319,80.6,61,20,13.8
94,Cayenne,GF,2021-04-25 00:00:09,4.9333,-52.3333,78.8,89,90,5.75
95,Blagoyevo,RU,2021-04-25 00:04:40,63.3667,47.9167,42.51,81,72,6.71
96,Maumere,ID,2021-04-25 00:04:40,-8.6199,122.2111,81.48,72,10,3.51
97,Sicuani,PE,2021-04-25 00:04:41,-14.2694,-71.2261,45.66,71,43,4.72
98,Ilulissat,GL,2021-04-25 00:01:26,69.2167,-51.1,46.4,46,11,21.85
99,Ketchikan,US,2021-04-25 00:04:41,55.3422,-131.6461,60.8,31,20,13.8
100,Khandyga,RU,2021-04-25 00:04:42,62.6667,135.6,21.24,87,100,2.71
