City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Naze,JP,66.47,overcast clouds,28.3667,129.4833,Amami
200,Buala,SB,79.03,moderate rain,-8.145,159.5921,Buala
201,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Souillac
204,Denpasar,ID,78.8,few clouds,-8.65,115.2167,Denpasar
206,Kahului,US,75.2,light rain,20.8947,-156.47,Kahului
208,Puerto Madryn,AR,75.43,overcast clouds,-42.7692,-65.0385,Puerto Madryn
210,Itoman,JP,71.6,scattered clouds,26.1247,127.6694,Itoman
214,Tank,PK,84.06,broken clouds,32.2217,70.3793,Tank
215,Mar Del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Mar del Plata
218,Iquitos,PE,84.2,broken clouds,-3.7481,-73.2472,Iquitos
222,Sao Joao Da Barra,BR,77.0,few clouds,-21.6403,-41.0511,Grussaí
223,Dunda,TZ,66.11,overcast clouds,-8.1167,34.25,Dunda
224,Valsamata,GR,66.2,clear sky,38.1667,20.6,Valsamata
225,Berbera,SO,84.58,light rain,10.4396,45.0143,Berbera
228,Rio Grande,BR,75.2,clear sky,-32.035,-52.0986,Rio Grande
230,Fukue,JP,65.32,overcast clouds,32.6881,128.8419,Goto
231,Antalaha,MG,74.52,clear sky,-14.9003,50.2788,Antalaha
235,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Hambantota
236,Sefophe,BW,68.0,light rain,-22.1833,27.9667,Sefhophe
238,Soyo,AO,79.48,broken clouds,-6.1349,12.3689,Soyo
239,La Plata,AR,73.0,clear sky,-34.9215,-57.9545,La Plata
242,Richmond,US,77.0,few clouds,37.5538,-77.4603,Richmond
243,Kieta,PG,78.1,scattered clouds,-6.2167,155.6333,Kieta
246,Victoria,HK,77.0,overcast clouds,22.2855,114.1577,Hong Kong
248,Madera,US,81.0,broken clouds,37.1666,-119.8343,Raymond
251,Maymyo,MM,66.4,few clouds,22.0333,96.4667,Pyin Oo Lwin
252,Labuhan,ID,78.93,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
253,Alexandria,EG,75.2,clear sky,31.2156,29.9553,Alexandria
254,Quang Ngai,VN,73.96,scattered clouds,15.1167,108.8,Quảng Ngãi
256,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Cockburn Town
257,Oussouye,SN,84.2,clear sky,12.485,-16.5469,Oussouye
263,Tura,IN,79.41,scattered clouds,25.5198,90.2201,Tura
267,Betioky,MG,71.29,clear sky,-23.7167,44.3833,Betioky
268,Sabak,MY,77.0,few clouds,3.7675,100.9875,Sungai Besar
270,Camacari,BR,80.6,broken clouds,-12.6975,-38.3242,Camaçari
271,Pocao De Pedras,BR,84.42,broken clouds,-4.6667,-44.85,Igarapé Grande
272,Ewa Beach,US,80.6,broken clouds,21.3156,-158.0072,Ewa
273,Bom Sucesso,BR,71.83,clear sky,-21.0331,-44.7581,Bom Sucesso
282,Nouadhibou,MR,71.6,clear sky,20.930999999999997,-17.0347,Nouadhibou
285,Rawson,AR,72.12,overcast clouds,-43.3002,-65.1023,Rawson
286,Jacala,MX,72.0,overcast clouds,21.0167,-99.1833,Jacala
288,Timbiqui,CO,74.55,light rain,2.7717,-77.6654,Timbiqui
290,Butterworth,MY,77.0,light rain,5.3991,100.3638,George Town
291,Awallan,PH,73.09,few clouds,17.9244,121.913,Baggao
292,Isangel,VU,76.86,overcast clouds,-19.55,169.2667,Isangel
295,Kasongo-Lunda,CD,73.51,light rain,-6.4667,16.8167,Kasongo-Lunda
296,Beloha,MG,72.81,few clouds,-25.1667,45.05,Beloha
297,Sao Gabriel Da Cachoeira,BR,77.0,scattered clouds,-0.1303,-67.0892,São Gabriel da Cachoeira
298,Wanning,CN,75.92,overcast clouds,18.8003,110.3967,Wanning
300,Menongue,AO,65.01,overcast clouds,-14.6585,17.691,Menongue
301,Gardabani,GE,68.0,broken clouds,41.4605,45.0928,Rustavi
302,Mitu,CO,77.0,broken clouds,1.1983,-70.1733,Queramiki
303,Namibe,AO,75.33,scattered clouds,-15.1961,12.1522,Namibe
304,Pamekasan,ID,78.66,scattered clouds,-7.1568,113.4746,Pamekasan
305,Keti Bandar,PK,82.89,overcast clouds,24.1447,67.4497,Keti Bandar
308,Merauke,ID,75.81,few clouds,-8.4667,140.3333,Urum
309,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Central Flacq
310,Bima,ID,75.31,clear sky,-8.4667,118.7167,Bima
311,Riverton,US,79.0,clear sky,40.5219,-111.9391,Sandy
314,Norsup,VU,77.88,broken clouds,-16.0667,167.3833,Lakatoro
