,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Qaanaaq,GL,77.484,-69.3632,33.04,68,94,5.97,overcast clouds
79,Georgetown,MY,5.4112,100.3354,77.0,94,40,8.3,light rain
80,Barrow,US,71.2906,-156.7887,19.4,93,90,3.78,overcast clouds
81,Port Elizabeth,ZA,-33.918,25.5701,59.0,67,40,16.11,scattered clouds
82,Hilo,US,19.7297,-155.09,80.6,61,20,5.75,light rain
83,Pisco,PE,-13.7,-76.2167,73.4,64,0,13.8,clear sky
84,Yura,PE,-16.2522,-71.6797,64.4,29,0,11.5,clear sky
85,Valleyview,CA,55.0667,-117.2859,60.8,27,0,20.71,clear sky
86,Ostrovnoy,RU,68.0531,39.5131,23.9,87,100,8.32,overcast clouds
87,Amapa,BR,1.0,-52.0,77.65,84,100,5.68,overcast clouds
88,Chuy,UY,-33.6971,-53.4616,70.18,47,13,6.2,few clouds
89,Alice Springs,AU,-23.7,133.8833,50.0,53,7,4.61,clear sky
90,Chokurdakh,RU,70.6333,147.9167,0.59,96,40,4.21,scattered clouds
91,Kandalaksha,RU,67.162,32.4123,27.0,100,100,4.54,overcast clouds
92,Ribeira Grande,PT,38.5167,-28.7,60.8,72,75,8.05,broken clouds
93,Airai,TL,-8.9266,125.4092,56.7,87,90,2.82,overcast clouds
94,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,0,6.91,light rain
95,Pontianak,ID,-0.0333,109.3333,73.4,100,40,3.44,scattered clouds
96,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.34,66,100,4.09,overcast clouds
97,Rovaniemi,FI,66.5,25.7167,24.8,80,20,2.3,few clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,79,20,9.22,few clouds
99,Grindavik,IS,63.8424,-22.4338,39.2,65,40,21.85,scattered clouds
100,Yellowknife,CA,62.456,-114.3525,33.01,93,90,11.5,light snow
101,Guerrero Negro,MX,27.9769,-114.0611,82.6,31,0,10.98,clear sky
102,Khatanga,RU,71.9667,102.5,29.64,95,99,8.34,overcast clouds
103,Flinders,AU,-34.5833,150.8552,55.99,89,1,1.01,clear sky
104,East London,ZA,-33.0153,27.9116,57.2,82,0,6.91,clear sky
105,Inhambane,MZ,-23.865,35.3833,77.0,88,20,4.61,few clouds
106,Mudgee,AU,-32.5943,149.5871,48.0,100,23,4.79,few clouds
107,Leningradskiy,RU,69.3833,178.4167,15.96,87,100,20.38,overcast clouds
108,Chihuahua,MX,28.5,-106.0,55.4,62,90,4.61,overcast clouds
109,Mount Isa,AU,-20.7333,139.5,64.4,52,0,5.75,clear sky
110,Faya,SA,18.3851,42.4509,64.4,77,40,9.22,scattered clouds
111,Buckeye,US,33.3703,-112.5838,97.0,14,0,9.22,clear sky
112,Banda Aceh,ID,5.5577,95.3222,79.27,82,72,4.54,broken clouds
113,Greytown,ZA,-29.0642,30.5928,50.02,95,100,6.78,light rain
114,Vila Velha,BR,-20.3297,-40.2925,78.01,69,20,13.8,few clouds
115,Carutapera,BR,-1.195,-46.02,77.0,91,100,1.23,overcast clouds
116,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,59,40,11.5,scattered clouds
117,Yar-Sale,RU,66.8333,70.8333,26.71,94,100,13.0,overcast clouds
118,Acajutla,SV,13.5928,-89.8275,87.8,45,40,4.61,scattered clouds
119,Port Alfred,ZA,-33.5906,26.891,63.07,77,53,16.02,light rain
120,Nikolskoye,RU,59.7035,30.7861,41.0,45,0,4.47,clear sky
121,Lasa,IT,46.6166,10.7002,66.2,81,40,5.75,scattered clouds
122,Sabha,LY,27.0377,14.4283,90.43,5,0,9.06,clear sky
123,Bongandanga,CD,1.5,21.05,74.44,84,100,3.15,overcast clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,69,20,5.75,few clouds
125,Bone,DE,51.9669,12.1396,50.0,78,100,4.54,overcast clouds
126,Seddon,AU,-37.8068,144.8916,54.0,71,7,6.91,clear sky
127,Marzuq,YE,14.4,46.4667,75.22,59,100,4.36,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,57.2,67,0,10.36,clear sky
129,Zapotitlan,GT,14.1333,-89.8333,87.8,45,40,4.61,scattered clouds
130,Lavrentiya,RU,65.5833,-171.0,19.63,82,45,3.98,scattered clouds
131,Taree,AU,-31.9,152.4667,53.6,100,17,2.3,few clouds
132,Norman Wells,CA,65.282,-126.8329,41.0,42,20,4.61,few clouds
133,Meulaboh,ID,4.1363,96.1285,77.41,87,43,3.58,scattered clouds
134,Statesville,US,35.7826,-80.8873,78.01,29,1,13.8,clear sky
135,Cayenne,GF,4.9333,-52.3333,82.4,78,75,8.05,broken clouds
136,Sitka,US,57.0531,-135.33,46.4,87,90,4.61,light rain
137,Khasan,RU,42.4308,130.6434,39.52,94,56,5.17,broken clouds
138,Oume,JP,35.7839,139.2431,53.01,76,1,4.21,clear sky
139,Sambava,MG,-14.2667,50.1667,76.86,88,6,9.84,light rain
140,Luderitz,NA,-26.6481,15.1594,65.77,40,0,19.48,clear sky
141,San Cristobal,VE,7.7669,-72.225,71.6,100,75,12.66,broken clouds
142,Fare,PF,-16.7,-151.0167,80.44,71,100,3.42,overcast clouds
143,Willowmore,ZA,-33.2926,23.4895,50.83,67,0,3.87,clear sky
144,Timon,BR,-5.0942,-42.8367,91.4,52,20,9.22,few clouds
145,Pokhara,NP,28.2333,83.9833,74.97,33,81,4.54,broken clouds
146,Harlingen,US,26.1906,-97.6961,80.6,65,90,10.36,overcast clouds
147,Kindu,CD,-2.95,25.95,70.65,99,85,1.34,overcast clouds
148,Poum,NC,-20.2333,164.0167,74.98,69,37,10.22,scattered clouds
149,Kismayo,SO,-0.3582,42.5454,82.17,80,75,12.19,broken clouds
150,Castro,BR,-24.7911,-50.0119,66.9,52,12,8.19,few clouds
151,Mandalgovi,MN,45.7625,106.2708,38.08,53,100,6.29,overcast clouds
152,Luwuk,ID,-0.9516,122.7875,76.93,86,53,2.35,broken clouds
153,Vardo,NO,70.3705,31.1107,23.0,80,40,16.11,scattered clouds
154,Forio,IT,40.7342,13.8646,69.8,43,0,2.3,clear sky
155,Sakakah,SA,29.9697,40.2064,87.8,12,0,3.44,clear sky
156,Luwingu,ZM,-10.2621,29.9271,64.94,90,72,2.91,broken clouds
157,Asau,RO,46.4333,26.4,57.99,48,100,5.32,overcast clouds
158,Loandjili,CG,-4.7561,11.8578,80.6,89,40,5.75,scattered clouds
159,Matara,LK,5.9485,80.5353,77.9,88,100,3.0,overcast clouds
160,Copiapo,CL,-27.3667,-70.3333,66.2,55,0,17.27,clear sky
161,Bathsheba,BB,13.2167,-59.5167,82.4,57,75,18.41,broken clouds
162,Dolores,AR,-36.3132,-57.6792,70.7,52,0,8.63,clear sky
163,Tigre,AR,-34.426,-58.5796,75.0,49,0,8.05,clear sky
164,Codrington,AU,-38.2667,141.9667,58.19,44,100,9.4,overcast clouds
165,Kirakira,SB,-10.4544,161.9205,78.12,88,100,7.38,overcast clouds
166,Dikson,RU,73.5069,80.5464,4.6,94,68,9.95,broken clouds
167,Lazaro Cardenas,MX,17.9583,-102.2,84.36,59,11,11.48,few clouds
168,Broken Hill,AU,-31.95,141.4333,55.4,54,100,6.91,overcast clouds
169,Aswan,EG,24.0934,32.907,92.86,10,0,11.95,clear sky
170,Saint Anthony,US,45.0205,-93.218,59.0,26,1,6.91,clear sky
171,Quelimane,MZ,-17.8786,36.8883,80.6,89,0,6.91,clear sky
172,Chokwe,MZ,-24.5333,32.9833,72.18,81,99,9.48,overcast clouds
173,Louis Trichardt,ZA,-23.0439,29.9032,63.34,61,93,3.09,overcast clouds
174,Evensk,RU,61.95,159.2333,25.12,78,46,11.14,scattered clouds
175,Chernushka,RU,56.5072,56.0766,40.73,64,100,6.87,overcast clouds
176,Tabasalu,EE,59.4303,24.5331,42.01,65,0,12.66,clear sky
177,Broome,US,42.2506,-75.833,52.0,57,90,24.16,overcast clouds
178,Pangai,TO,-19.8,-174.35,77.0,83,40,13.8,light rain
179,North Battleford,CA,52.7834,-108.2847,69.8,30,1,13.8,clear sky
180,Jardim,BR,-21.4803,-56.1381,88.09,22,0,2.06,clear sky
181,La Palma,US,33.8464,-118.0467,89.01,32,20,9.22,few clouds
182,Thompson,CA,55.7435,-97.8558,42.8,33,90,6.91,overcast clouds
183,Pacific Grove,US,36.6177,-121.9166,59.0,67,1,12.66,clear sky
184,Baytown,US,29.7355,-94.9774,71.01,91,100,3.0,overcast clouds
185,Turayf,SA,31.6725,38.6637,82.4,23,40,29.93,scattered clouds
186,Salta,AR,-24.7859,-65.4117,68.0,52,20,5.75,few clouds
187,Basco,PH,20.4487,121.9702,78.53,79,0,7.54,clear sky
188,Ambositra,MG,-20.5167,47.25,57.83,99,42,2.42,scattered clouds
189,Port Macquarie,AU,-31.4333,152.9167,57.99,99,26,1.01,scattered clouds
190,Mpulungu,ZM,-8.7623,31.1141,72.12,81,53,4.79,broken clouds
191,Juneau,US,58.3019,-134.4197,44.6,81,90,16.11,light rain
192,Bayir,TR,37.2687,28.2167,68.0,49,0,3.44,clear sky
193,Mikhaylovsk,RU,45.1283,42.0256,57.2,88,0,8.95,clear sky
194,Hovd,MN,48.0056,91.6419,60.58,29,100,10.36,overcast clouds
195,San Quintin,MX,30.4833,-115.95,75.97,44,0,13.47,clear sky
196,Solnechnyy,RU,50.7214,136.6319,30.49,87,99,6.53,overcast clouds
197,Kushmurun,KZ,52.4503,64.6311,47.28,53,82,6.31,broken clouds
198,Ambilobe,MG,-13.2,49.05,74.66,94,22,2.71,few clouds
199,Naze,JP,28.3667,129.4833,66.47,80,100,14.52,overcast clouds
200,Buala,SB,-8.145,159.5921,79.03,81,100,4.94,moderate rain
201,Souillac,MU,-20.5167,57.5167,77.0,83,20,11.5,few clouds
202,Kaitangata,NZ,-46.2817,169.8464,44.01,83,83,4.0,broken clouds
203,Dudinka,RU,69.4058,86.1778,15.53,97,61,6.06,broken clouds
204,Denpasar,ID,-8.65,115.2167,78.8,89,20,4.61,few clouds
